# IAU WGCCRE 2015 shape and rotational elements for the Sun, the eight planets,
# the Moon and Pluto.
#
# Source: pck00011.tpc, the NAIF generic text planetary constants kernel
# (Nat Bachman, NAIF, 2022 December 27),
# https://naif.jpl.nasa.gov/pub/naif/generic_kernels/pck/pck00011.tpc
#
# Reference: B. A. Archinal et al., "Report of the IAU Working Group on
# Cartographic Coordinates and Rotational Elements: 2015", Celestial Mechanics
# and Dynamical Astronomy 130:22 (2018), together with the corrigendum,
# Celestial Mechanics and Dynamical Astronomy 131:61 (2019).
#
# Earth and Moon orientation is from the 2009 report; the 2015 report gives no
# orientation data for either body.  Prefer framelib::ItrsFrame for the Earth
# and a binary Moon PA kernel for the Moon whenever accuracy matters.
#
# Columns.  Angles are degrees, radii are kilometres, fields are comma
# separated, and multi-valued fields are space separated and may be empty.
#
#   naif_id           NAIF integer body code
#   name              body name, matching planetlib::Body::name()
#   a_km b_km c_km    triaxial ellipsoid radii: two equatorial, one polar
#   pole_ra           right ascension of the north pole:
#                     deg, deg/century, deg/century^2
#   pole_dec          declination of the north pole, same units
#   pm                prime meridian: deg, deg/day, deg/day^2
#   nut_prec_ra       nutation/precession amplitudes for RA, deg
#   nut_prec_dec      nutation/precession amplitudes for declination, deg
#   nut_prec_pm       nutation/precession amplitudes for the prime meridian, deg
#   nut_prec_angles   the barycentre's nutation/precession angles, flattened
#                     into triples of deg, deg/century, deg/century^2
#
naif_id,name,a_km,b_km,c_km,pole_ra,pole_dec,pm,nut_prec_ra,nut_prec_dec,nut_prec_pm,nut_prec_angles
10,Sun,695700.0,695700.0,695700.0,286.13 0.0 0.0,63.87 0.0 0.0,84.176 14.1844 0.0,,,,
199,Mercury,2440.53,2440.53,2438.26,281.0103 -0.0328 0.0,61.4155 -0.0049 0.0,329.5988 6.1385108 0.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,0.01067257 -0.00112309 -0.0001104 -2.539e-05 -5.71e-06,174.7910857 149472.53587500003 0.0 349.5821714 298945.07175000006 0.0 164.3732571 448417.60762500006 0.0 339.1643429 597890.1435000001 0.0 153.9554286 747362.679375 0.0
299,Venus,6051.8,6051.8,6051.8,272.76 0.0 0.0,67.16 0.0 0.0,160.2 -1.4813688 0.0,,,,
399,Earth,6378.1366,6378.1366,6356.7519,0.0 -0.641 0.0,90.0 -0.557 0.0,190.147 360.9856235 0.0,,,,125.045 -1935.5364525 0.0 250.089 -3871.072905 0.0 260.008 475263.3328725 0.0 176.625 487269.629985 0.0 357.529 35999.0509575 0.0 311.589 964468.49931 0.0 134.963 477198.869325 0.0 276.617 12006.300765 0.0 34.226 63863.5132425 0.0 15.134 -5806.6093575 0.0 119.743 131.84064 0.0 239.961 6003.1503825 0.0 25.053 473327.79642 0.0
301,Moon,1737.4,1737.4,1737.4,269.9949 0.0031 0.0,66.5392 0.013 0.0,38.3213 13.17635815 -1.4e-12,-3.8787 -0.1204 0.07 -0.0172 0.0 0.0072 0.0 0.0 0.0 -0.0052 0.0 0.0 0.0043,1.5419 0.0239 -0.0278 0.0068 0.0 -0.0029 0.0009 0.0 0.0 0.0008 0.0 0.0 -0.0009,3.561 0.1208 -0.0642 0.0158 0.0252 -0.0066 -0.0047 -0.0046 0.0028 0.0052 0.004 0.0019 -0.0044,125.045 -1935.5364525 0.0 250.089 -3871.072905 0.0 260.008 475263.3328725 0.0 176.625 487269.629985 0.0 357.529 35999.0509575 0.0 311.589 964468.49931 0.0 134.963 477198.869325 0.0 276.617 12006.300765 0.0 34.226 63863.5132425 0.0 15.134 -5806.6093575 0.0 119.743 131.84064 0.0 239.961 6003.1503825 0.0 25.053 473327.79642 0.0
499,Mars,3396.19,3396.19,3376.2,317.269202 -0.10927547 0.0,54.432516 -0.05827105 0.0,176.049863 350.891982443297 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.8e-05 0.000238 5.2e-05 9e-06 0.419057,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.1e-05 0.000141 3.1e-05 5e-06 1.591274,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000145 0.000157 4e-05 1e-06 1e-06 0.584542,190.72646643 15917.10818695 0.0 21.4689247 31834.27934054 0.0 332.86082793 19139.89694742 0.0 394.93256437 38280.79631835 0.0 189.6327156 41215158.1842005 12.711923222 121.46893664 660.22803474 0.0 231.05028581 660.9912354 0.0 251.37314025 1320.50145245 0.0 217.98635955 38279.9612555 0.0 196.19729402 19139.83628608 0.0 198.991226 19139.4819985 0.0 226.292679 38280.8511281 0.0 249.663391 57420.7251593 0.0 266.18351 76560.636795 0.0 79.398797 0.5042615 0.0 122.433576 19139.9407476 0.0 43.058401 38280.8753272 0.0 57.663379 57420.7517205 0.0 79.476401 76560.6495004 0.0 166.325722 0.5042615 0.0 129.071773 19140.0328244 0.0 36.352167 38281.0473591 0.0 56.668646 57420.929536 0.0 67.364003 76560.2552215 0.0 104.79268 95700.4387578 0.0 95.391654 0.5042615 0.0
599,Jupiter,71492.0,71492.0,66854.0,268.056595 -0.006499 0.0,64.495303 0.002413 0.0,284.95 870.536 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000117 0.000938 0.001432 3e-05 0.00215,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5e-05 0.000404 0.000617 -1.3e-05 0.000926,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,73.32 91472.9 0.0 24.62 45137.2 0.0 283.9 4850.7 0.0 355.8 1191.3 0.0 119.9 262.1 0.0 229.8 64.3 0.0 352.25 2382.6 0.0 113.35 6070.0 0.0 146.64 182945.8 0.0 49.24 90274.4 0.0 99.360714 4850.4046 0.0 175.895369 1191.9605 0.0 300.323162 262.5475 0.0 114.012305 6070.2476 0.0 49.511251 64.3 0.0
699,Saturn,60268.0,60268.0,54364.0,40.589 -0.036 0.0,83.537 -0.004 0.0,38.9 810.7939024 0.0,,,,353.32 75706.7 0.0 28.72 75706.7 0.0 177.4 -36505.5 0.0 300.0 -7225.9 0.0 316.45 506.2 0.0 345.2 -1016.3 0.0 706.64 151413.4 0.0 57.44 151413.4 0.0
799,Uranus,25559.0,25559.0,24973.0,257.311 0.0 0.0,-15.175 0.0 0.0,203.81 -501.1600928 0.0,,,,115.75 54991.87 0.0 141.69 41887.66 0.0 135.03 29927.35 0.0 61.77 25733.59 0.0 249.32 24471.46 0.0 43.86 22278.41 0.0 77.66 20289.42 0.0 157.36 16652.76 0.0 101.81 12872.63 0.0 138.64 8061.81 0.0 102.23 -2024.22 0.0 316.41 2863.96 0.0 304.01 -51.94 0.0 308.71 -93.17 0.0 340.82 -75.32 0.0 259.14 -504.81 0.0 204.46 -4048.44 0.0 632.82 5727.92 0.0
